food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Calcium
surinam cherry pitanga,2,0.059,0.0,0.0,0.0,0.5,0.0,0.045,0.0,0.0,0.1,0.6
passion fruit,17,0.1,0.098,0.051,0.053,4.2,2.0,0.4,1.9,0.0,0.072,0.03
sapodilla,141,1.9,0.3,0.9,0.05,33.9,0.0,0.7,9.0,0.0,0.08,35.7
pummelo,48,0.06,0.0,0.0,0.0,12.0,0.0,1.0,1.3,0.0,0.094,0.0
coconut meat,1405,133.0,117.9,5.7,1.5,60.5,24.7,13.2,35.7,0.0,0.022,55.6
soursop,149,0.7,0.1,0.2,0.2,37.9,30.5,2.3,7.4,0.0,0.024,31.5
papaya,62,0.4,0.1,0.1,0.051,15.7,11.3,0.7,2.5,0.0,0.004,0.06
acerola cherry,2,0.052,0.074,0.086,0.036,0.4,0.0,0.079,0.077,0.0,0.088,0.0
ohelo berries,39,0.3,0.0,0.0,0.0,9.6,0.0,0.5,0.0,0.0,0.068,9.8
loganberries,81,0.5,0.053,0.023,0.3,19.1,11.3,2.2,7.8,0.0,0.06,38.2
casaba melon,48,0.2,0.012,0.046,0.012,11.2,9.7,1.9,1.5,0.0,0.057,18.7
durian,51,1.9,0.0,0.0,0.0,9.5,0.0,0.5,1.3,0.0,0.079,0.0
coriander leaves raw,4,0.086,0.044,0.01,0.064,0.6,0.1,0.3,0.4,0.0,0.005,10.7
garden cress raw,3,0.062,0.052,0.049,0.062,0.5,0.4,0.2,0.063,0.0,0.079,0.04
pasilla peppers dried,24,1.1,0.0,0.0,0.0,3.6,0.0,0.9,1.9,0.0,0.063,6.8
parsley dried,1,0.096,0.064,0.086,0.093,0.3,0.073,0.1,0.1,0.0,0.058,5.7
ancho pepper dried,48,1.4,0.1,0.08,0.8,8.7,0.0,2.0,3.7,0.0,0.068,10.4
coriander seeds,5,0.3,0.049,0.2,0.074,1.0,0.0,0.2,0.8,0.0,0.095,12.8
dill weed dried,253,4.4,0.2,0.0,0.0,55.8,0.0,20.0,13.6,0.0,0.2,0.0
borage,19,0.6,0.2,0.2,0.017,2.7,0.0,1.6,0.0,0.0,0.023,82.8
epazote,0,0.06,0.0,0.0,0.0,0.094,0.0,0.059,0.051,0.0,0.021,0.0
chives dried,1,0.055,0.051,0.093,0.023,0.1,0.0,0.013,0.041,0.0,0.04,0.0
thyme fresh,1,0.068,0.07,0.056,0.085,0.2,0.0,0.091,0.1,0.0,0.017,0.0
butterbur,4,0.2,0.0,0.0,0.0,0.5,0.0,0.1,0.0,0.0,0.053,42.2
wasabi root,142,0.8,0.0,0.0,0.0,30.6,0.0,6.2,10.1,0.0,0.02,166.4
rosemary dried,4,0.2,0.083,0.029,0.085,0.8,0.0,0.081,0.5,0.0,0.048,15.4
ginger root,2,0.028,0.048,0.067,0.046,0.4,0.019,0.068,0.058,0.0,0.0,0.3
white pepper,7,0.0,0.002,0.049,0.032,1.6,0.0,0.2,0.6,0.0,0.075,0.0
cloves ground,6,0.3,0.017,0.037,0.2,1.4,0.028,0.1,0.7,0.0,0.0,13.3
paprika,19,0.9,0.1,0.1,0.5,3.7,0.7,1.0,2.4,0.0,0.061,0.061
mace ground,25,1.7,0.5,0.6,0.2,2.7,0.0,0.4,1.1,0.0,0.097,13.4
bay leaf,2,0.042,0.08,0.095,0.076,0.4,0.0,0.086,0.2,0.0,0.084,5.0
eppaw,150,1.8,0.0,0.0,0.0,31.7,0.0,4.6,0.0,0.0,0.015,0.0
tarragon dried,2,0.047,0.01,0.081,0.068,0.3,0.0,0.1,0.038,0.0,0.012,6.8
ginger ground,6,0.043,0.088,0.021,0.095,1.3,0.067,0.2,0.3,0.0,0.038,2.1
savory ground,4,0.029,0.085,0.0,0.0,1.0,0.0,0.074,0.6,0.0,0.055,0.0
black pepper,6,0.006,0.034,0.04,0.065,1.5,0.08,0.2,0.6,0.0,0.036,0.045
spearmint fresh,3,0.089,0.049,0.068,0.022,0.5,0.0,0.2,0.4,0.0,0.092,0.0
poultry seasoning,14,0.3,0.1,0.094,0.079,2.9,0.1,0.4,0.5,0.0,0.063,43.8
nutmeg ground,12,0.8,0.6,0.056,0.088,1.1,0.6,0.1,0.5,0.0,0.095,4.0
curry powder,20,0.9,0.1,0.3,0.2,3.7,0.2,0.8,2.1,0.0,0.004,0.094
peppermint,1,0.004,0.016,0.034,0.051,0.2,0.0,0.038,0.1,0.0,0.007,0.0
salt,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.3
coriander leaves dried,2,0.098,0.099,0.09,0.081,0.3,0.045,0.1,0.095,0.0,0.018,0.094
sage ground,2,0.046,0.07,0.069,0.013,0.4,0.052,0.058,0.3,0.0,0.083,11.6
garlic powder,10,0.029,0.003,0.045,0.016,2.3,0.068,0.5,0.3,0.0,0.082,0.008
dill weed fresh,4,0.063,0.064,0.022,0.052,0.6,0.0,0.3,0.2,0.0,0.017,0.0
cardamom,6,0.1,0.065,0.038,0.071,1.4,0.0,0.2,0.6,0.0,0.013,7.7
saffron,2,0.092,0.047,0.1,0.05,0.5,0.0,0.071,0.002,0.0,0.063,0.0
allspice ground,5,0.2,0.034,0.084,0.063,1.4,0.0,0.1,0.4,0.0,0.001,12.6
parsley fresh,1,0.078,0.016,0.037,0.01,0.2,0.001,0.1,0.1,0.0,0.056,0.013
oregano dried,265,4.3,1.6,0.7,1.4,68.9,4.1,9.0,42.5,0.0,0.009,0.6
marjoram dried,5,0.1,0.056,0.076,0.093,1.0,0.077,0.2,0.7,0.0,0.004,0.047
chives raw,1,0.088,0.083,0.09,0.002,0.1,0.02,0.03,0.044,0.0,0.099,0.08
fireweed leaves,24,0.6,0.0,0.0,0.0,4.4,0.0,1.1,2.4,0.0,0.035,98.7
rosemary fresh,1,0.1,0.016,0.0,0.072,0.1,0.0,0.005,0.012,0.0,0.039,0.0
garlic,4,0.026,0.033,0.078,0.089,0.9,0.043,0.2,0.064,0.0,0.018,0.003
cinnamon ground,6,0.044,0.074,0.08,0.044,2.1,0.066,0.1,1.4,0.0,0.022,26.1
chervil dried,5,0.002,0.066,0.033,0.031,0.9,0.0,0.4,0.2,0.0,0.076,25.6
cayenne pepper,1,0.094,0.043,0.082,0.023,0.2,0.089,0.039,0.052,0.0,0.059,0.4
turmeric ground,8,0.2,0.093,0.014,0.019,1.4,0.062,0.2,0.5,0.0,0.064,4.0
mustard,3,0.2,0.021,0.1,0.086,0.3,0.048,0.2,0.2,0.0,0.015,0.012
chili powder,8,0.4,0.061,0.029,0.2,1.3,0.2,0.4,0.9,0.0,0.014,0.047
thyme dried,276,7.4,2.7,0.5,1.2,63.9,1.7,9.1,37.0,0.0,0.016,1.7
spearmint dried,1,0.018,0.09,0.018,0.057,0.3,0.0,0.094,0.1,0.0,0.012,0.0
basil dried,2,0.027,0.02,0.038,0.076,0.3,0.054,0.2,0.3,0.0,0.089,0.078
dandelion greens cooked,35,0.6,0.0,0.0,0.0,6.7,1.7,2.1,3.0,0.0,0.3,147.0
basil fresh,2,0.089,0.069,0.019,0.03,0.2,0.064,0.2,0.1,0.0,0.058,0.047
dock,29,0.9,0.0,0.0,0.0,4.3,0.0,2.7,3.9,0.0,0.025,0.0
garden cress cooked,31,0.8,0.001,0.3,0.3,5.1,4.2,2.6,0.9,0.0,0.3,82.4
onion powder,8,0.024,0.068,0.036,0.077,1.9,0.2,0.2,0.4,0.0,0.048,9.2
dandelion greens raw,25,0.4,0.012,0.041,0.2,5.1,0.4,1.5,1.9,0.0,0.043,102.9
